Tom Ford Beauty,Chanel Beauty,La Prairie,Dior Beauty,Year,Period,Value,luxury index
3,16,58,20,2022,Q01,4.7,24.25
4,14,58,18,2022,Q01,4.7,23.5
3,13,53,15,2022,Q01,4.7,21.0
3,13,63,17,2022,Q01,4.7,24.0
3,14,59,18,2022,Q01,4.7,23.5
3,14,56,19,2022,Q01,4.7,23.0
3,13,59,18,2022,Q01,4.7,23.25
3,11,56,15,2022,Q01,4.7,21.25
3,11,57,16,2022,Q01,4.7,21.75
3,11,56,14,2022,Q01,4.7,21.0
3,10,53,17,2022,Q01,4.7,20.75
3,11,58,15,2022,Q01,4.7,21.75
3,10,57,16,2022,Q01,4.7,21.5
3,11,55,15,2022,Q02,5.3,21.0
2,10,65,16,2022,Q02,5.3,23.25
2,12,57,15,2022,Q02,5.3,21.5
3,11,56,17,2022,Q02,5.3,21.75
3,12,57,18,2022,Q02,5.3,22.5
3,11,60,17,2022,Q02,5.3,22.75
2,10,58,16,2022,Q02,5.3,21.5
2,10,64,17,2022,Q02,5.3,23.25
2,10,62,16,2022,Q02,5.3,22.5
3,11,56,16,2022,Q02,5.3,21.5
3,11,58,15,2022,Q02,5.3,21.75
2,11,65,17,2022,Q02,5.3,23.75
2,11,67,15,2022,Q02,5.3,23.75
2,11,66,17,2022,Q03,5.1,24.0
2,11,64,15,2022,Q03,5.1,23.0
2,10,70,15,2022,Q03,5.1,24.25
2,11,69,17,2022,Q03,5.1,24.75
3,11,72,17,2022,Q03,5.1,25.75
2,12,67,17,2022,Q03,5.1,24.5
2,12,67,17,2022,Q03,5.1,24.5
2,12,69,17,2022,Q03,5.1,25.0
2,12,61,17,2022,Q03,5.1,23.0
3,12,60,16,2022,Q03,5.1,22.75
2,12,57,17,2022,Q03,5.1,22.0
3,12,56,17,2022,Q03,5.1,22.0
2,12,61,19,2022,Q03,5.1,23.5
3,12,60,21,2022,Q04,5.1,24.0
2,13,63,19,2022,Q04,5.1,24.25
3,12,54,20,2022,Q04,5.1,22.25
3,13,66,23,2022,Q04,5.1,26.25
3,14,61,27,2022,Q04,5.1,26.25
3,13,61,29,2022,Q04,5.1,26.5
4,15,62,30,2022,Q04,5.1,27.75
4,18,57,38,2022,Q04,5.1,29.25
4,16,55,33,2022,Q04,5.1,27.0
3,16,60,28,2022,Q04,5.1,26.75
4,16,55,31,2022,Q04,5.1,26.5
3,15,59,32,2022,Q04,5.1,27.25
4,14,69,32,2022,Q04,5.1,29.75
3,13,55,30,2023,Q01,5.0,25.25
3,13,59,26,2023,Q01,5.0,25.25
2,12,51,26,2023,Q01,5.0,22.75
2,11,61,26,2023,Q01,5.0,25.0
3,13,56,25,2023,Q01,5.0,24.25
3,13,54,23,2023,Q01,5.0,23.25
2,12,53,21,2023,Q01,5.0,22.0
2,12,53,22,2023,Q01,5.0,22.25
3,12,53,23,2023,Q01,5.0,22.75
2,13,60,24,2023,Q01,5.0,24.75
3,12,53,22,2023,Q01,5.0,22.5
2,12,54,21,2023,Q01,5.0,22.25
3,12,53,23,2023,Q01,5.0,22.75
2,12,57,24,2023,Q02,4.6,23.75
3,12,59,24,2023,Q02,4.6,24.5
2,11,52,21,2023,Q02,4.6,21.5
2,13,60,23,2023,Q02,4.6,24.5
2,14,57,23,2023,Q02,4.6,24.0
2,13,53,25,2023,Q02,4.6,23.25
2,11,58,21,2023,Q02,4.6,23.0
2,12,57,21,2023,Q02,4.6,23.0
2,12,62,25,2023,Q02,4.6,25.25
2,12,59,23,2023,Q02,4.6,24.0
2,12,59,22,2023,Q02,4.6,23.75
2,11,60,22,2023,Q02,4.6,23.75
2,14,59,23,2023,Q02,4.6,24.5
2,19,56,24,2023,Q03,4.6,25.25
2,15,59,23,2023,Q03,4.6,24.75
2,13,55,20,2023,Q03,4.6,22.5
2,14,59,21,2023,Q03,4.6,24.0
2,14,58,22,2023,Q03,4.6,24.0
2,12,60,23,2023,Q03,4.6,24.25
2,13,57,23,2023,Q03,4.6,23.75
2,13,61,21,2023,Q03,4.6,24.25
2,14,57,22,2023,Q03,4.6,23.75
2,12,65,21,2023,Q03,4.6,25.0
2,11,55,20,2023,Q03,4.6,22.0
2,13,60,22,2023,Q03,4.6,24.25
2,13,60,23,2023,Q03,4.6,24.5
2,12,58,26,2023,Q04,4.3,24.5
2,14,54,25,2023,Q04,4.3,23.75
2,16,52,27,2023,Q04,4.3,24.25
3,16,62,30,2023,Q04,4.3,27.75
2,16,58,34,2023,Q04,4.3,27.5
4,16,58,41,2023,Q04,4.3,29.75
3,18,62,38,2023,Q04,4.3,30.25
4,19,64,46,2023,Q04,4.3,33.25
3,21,57,41,2023,Q04,4.3,30.5
3,21,58,42,2023,Q04,4.3,31.0
3,21,62,43,2023,Q04,4.3,32.25
3,21,65,41,2023,Q04,4.3,32.5
4,18,71,38,2023,Q04,4.3,32.75
3,16,65,34,2023,Q04,4.3,29.5
2,15,59,30,2024,Q01,4.4,26.5
3,13,59,28,2024,Q01,4.4,25.75
3,14,63,28,2024,Q01,4.4,27.0
3,15,70,28,2024,Q01,4.4,29.0
2,15,69,25,2024,Q01,4.4,27.75
2,14,74,26,2024,Q01,4.4,29.0
3,14,57,27,2024,Q01,4.4,25.25
2,14,56,26,2024,Q01,4.4,24.5
3,14,65,25,2024,Q01,4.4,26.75
2,14,54,27,2024,Q01,4.4,24.25
3,14,55,25,2024,Q01,4.4,24.25
3,14,71,26,2024,Q01,4.4,28.5
2,13,56,25,2024,Q01,4.4,24.0
2,13,58,35,2024,Q02,4.2,27.0
3,14,59,30,2024,Q02,4.2,26.5
2,15,70,30,2024,Q02,4.2,29.25
3,15,59,27,2024,Q02,4.2,26.0
2,13,56,28,2024,Q02,4.2,24.75
2,13,55,30,2024,Q02,4.2,25.0
2,13,57,25,2024,Q02,4.2,24.25
2,12,61,24,2024,Q02,4.2,24.75
2,13,57,23,2024,Q02,4.2,23.75
2,12,61,24,2024,Q02,4.2,24.75
2,14,64,27,2024,Q02,4.2,26.75
3,13,69,27,2024,Q02,4.2,28.0
2,13,58,26,2024,Q02,4.2,24.75
2,13,63,25,2024,Q03,3.9,25.75
2,13,100,25,2024,Q03,3.9,35.0
2,13,62,27,2024,Q03,3.9,26.0
2,13,60,25,2024,Q03,3.9,25.0
2,13,61,26,2024,Q03,3.9,25.5
3,14,64,26,2024,Q03,3.9,26.75
3,13,71,26,2024,Q03,3.9,28.25
3,14,65,25,2024,Q03,3.9,26.75
3,13,61,26,2024,Q03,3.9,25.75
3,14,59,25,2024,Q03,3.9,25.25
2,13,58,24,2024,Q03,3.9,24.25
2,12,61,27,2024,Q03,3.9,25.5
3,15,60,29,2024,Q03,3.9,26.75
3,14,56,28,2024,Q04,3.8,25.25
2,16,57,34,2024,Q04,3.8,27.25
2,19,58,32,2024,Q04,3.8,27.75
3,22,83,36,2024,Q04,3.8,36.0
3,20,61,37,2024,Q04,3.8,30.25
3,24,57,41,2024,Q04,3.8,31.25
4,23,58,42,2024,Q04,3.8,31.75
6,30,62,53,2024,Q04,3.8,37.75
4,24,64,50,2024,Q04,3.8,35.5
4,22,67,44,2024,Q04,3.8,34.25
4,24,64,42,2024,Q04,3.8,33.5
4,23,64,45,2024,Q04,3.8,34.0
3,19,64,36,2024,Q04,3.8,30.5
3,17,64,34,2025,Q01,3.5,29.5
2,15,62,32,2025,Q01,3.5,27.75
2,15,64,31,2025,Q01,3.5,28.0
2,15,57,30,2025,Q01,3.5,26.0
