Chanel Beauty,Tom Ford Beauty,La Prairie,Dior Beauty,La Mer,Shiseido,Augustinus Bader,Caudalie,SkinCeuticals,YSL Beauty,Sisley Paris,Lancome,Charlotte Tilburry,Kiehls,Laura Mercier,Year,Period,Value,luxury index
10.0,3.0,19.0,15.0,73.0,46.00988264360716,8.258184064237183,21.235330450895614,60.1667696108709,7.180451127819549,0.0,509.812030075188,0.0,50.367800138792504,50.367800138792504,2022,Q01,4.7,58.2265498833469
8.0,2.0,19.0,13.0,68.0,47.189623224212475,9.437924644842495,21.235330450895614,63.70599135268684,7.180451127819549,0.0,567.2556390977444,0.0,46.3913948646773,49.04233171408744,2022,Q01,4.7,61.42924576513108
9.0,2.0,16.0,12.0,62.0,43.65040148239654,7.078443483631871,20.0555898702903,57.80728844966028,7.180451127819549,0.0,473.90977443609023,0.0,42.41498959056211,46.3913948646773,2022,Q01,4.7,53.29922222034188
8.0,2.0,18.0,12.0,57.0,47.189623224212475,8.258184064237183,27.134033353922174,63.70599135268684,7.180451127819549,0.0,430.82706766917295,0.0,43.74045801526717,47.716863289382374,2022,Q01,4.7,51.51684480644671
7.0,3.0,18.0,14.0,58.0,44.83014206300185,8.258184064237183,25.954292773316862,61.34651019147621,7.180451127819549,0.0,516.9924812030075,0.0,46.3913948646773,45.06592643997224,2022,Q01,4.7,57.06795884850058
9.0,3.0,19.0,13.0,58.0,46.00988264360716,9.437924644842495,27.134033353922174,67.24521309450277,7.180451127819549,0.0,538.5338345864662,0.0,45.06592643997224,46.3913948646773,2022,Q01,4.7,59.266577383720666
8.0,2.0,17.0,13.0,56.0,50.72884496602841,7.078443483631871,21.235330450895614,61.34651019147621,7.180451127819549,0.0,416.4661654135339,0.0,46.3913948646773,47.716863289382374,2022,Q01,4.7,50.276266919163014
8.0,2.0,19.0,12.0,64.0,46.00988264360716,9.437924644842495,25.954292773316862,68.42495367510809,7.180451127819549,0.0,430.82706766917295,0.0,43.74045801526717,49.04233171408744,2022,Q01,4.7,52.37449081754812
7.0,2.0,19.0,14.0,66.0,48.36936380481779,8.258184064237183,21.235330450895614,68.42495367510809,7.180451127819549,0.0,373.3834586466166,0.0,31.811242192921583,51.69326856349757,2022,Q01,4.7,47.890416835060925
7.0,2.0,18.0,11.0,60.0,67.24521309450277,8.258184064237183,20.0555898702903,63.70599135268684,7.180451127819549,0.0,387.74436090225566,0.0,37.11311589174184,49.04233171408744,2022,Q01,4.7,49.22301586784144
